text,disease
"Vomissements répétés après chaque repas, selles liquides et sensation de malaise au niveau de l’estomac. Je suis aussi très fatigué.","gastroentérite"
"Mal de tête pulsatile d’un seul côté du crâne, avec nausées et photophobie. Je dois rester dans le noir pour me sentir mieux.","migraine"
"Éternuements continus, yeux rouges et qui démangent, nez qui coule comme de l’eau. Je n’ai pas de fièvre mais je suis très gêné au quotidien.","rhume"
"Je frissonne malgré une forte fièvre et j’ai mal partout, surtout aux articulations.","grippe"
"Ma gorge me brûle, mon nez coule constamment et j’éternue sans arrêt.","rhume"
"Depuis ce matin, je vomis tout ce que je mange et j’ai des douleurs au ventre.","gastroentérite"
"Une douleur lancinante m’envahit le côté droit de la tête, accompagnée de nausées.","migraine"
"Fièvre, douleurs musculaires et toux sèche depuis hier soir. Je suis cloué au lit.","grippe"
"J’ai des écoulements nasaux, une sensation de froid et la voix cassée.","rhume"
"Je n’arrête pas de vomir, j’ai la diarrhée et je ne peux rien garder dans l’estomac.","gastroentérite"
"Ma tête me fait horriblement mal, comme des battements, et la lumière m’agresse.","migraine"
"Je transpire la nuit, j’ai des douleurs musculaires et ma toux est très sèche.","grippe"
"Je me mouche toutes les deux minutes, j’ai la gorge qui pique et je suis épuisé.","rhume"
"Je suis allé aux toilettes 5 fois ce matin avec des selles liquides et j’ai le ventre noué.","gastroentérite"
"J’ai un mal de tête qui bat comme un tambour et des nausées persistantes.","migraine"
"Courbatures dans tout le corps, fièvre et frissons : je me sens complètement vidé.","grippe"
"Je ressens une gêne constante dans la gorge, le nez pris et une toux légère.","rhume"
"Je n’ai pas mangé depuis ce matin à cause des nausées et des crampes digestives.","gastroentérite"
"La douleur dans ma tête est insupportable, avec des nausées et de la fatigue intense.","migraine"
"Je tousse sans arrêt, j’ai de la fièvre et je me sens faible et courbaturé.","grippe"
"Mon nez coule clair, je tousse un peu, mais surtout je suis très fatigué.","rhume"
"Ma digestion est complètement déréglée : diarrhée, vomissements et crampes.","gastroentérite"
"Une douleur violente d’un seul côté de la tête m’empêche de dormir.","migraine"
"Je me sens fébrile, j’ai mal aux muscles et je n’ai aucun appétit.","grippe"
"Je suis enrhumé depuis trois jours : nez bouché, éternuements et gorge irritée.","rhume"
"Rien ne reste dans mon estomac, même l’eau. Diarrhée et vomissements continus.","gastroentérite"
"J’ai une migraine avec des troubles visuels et une douleur intense derrière l’œil.","migraine"
"Depuis hier soir, j’ai la fièvre et la toux sèche, et je me sens épuisé.","grippe"
"Je suis congestionné, je parle du nez et j’ai un mal de gorge constant.","rhume"
"J’ai mal au ventre, je vais souvent à la selle et j’ai des hauts-le-cœur.","gastroentérite"
"Le bruit me rend malade, j’ai l’impression que ma tête va exploser.","migraine"
"Fièvre de 38,5°C, frissons, toux grasse et douleurs dans les jambes.","grippe"
"Yeux larmoyants, nez qui coule sans arrêt et éternuements fréquents.","rhume"
